,Mating,Ratio,Replicate
0,WT (ic) x ∆cob,16.22002820874471,rep2
1,WT (ic) x ∆cob,18.51326716629532,rep3
2,WT (ic) x ∆cob,18.88203780450824,rep1
3,WT (ic) x ∆cox2,19.265314360682208,rep1
4,WT (ic) x ∆cox2,31.674071082390952,rep2
5,WT (ic) x ∆cox2,32.1218870216643,rep3
6,WT (ic) x WT (ic),58.14949668,rep1
7,WT (ic) x WT (ic),54.30777149,rep2
8,WT (ic) x WT (ic),68.53336222,rep3
9,WT (ic) x ∆atp6,27.902508090614887,rep1
10,WT (ic) x ∆atp6,26.646464646464647,rep2
11,WT (ic) x ∆atp6,37.85013651532005,rep3
12,WT (ic) x WT (il),36.55276381909548,rep3
13,WT (ic) x WT (il),53.27635327635327,rep1
14,WT (ic) x WT (il),45.14733983707131,rep2
